Conso;Glacage;Fourrage;Eclair;App glacage;Evocation glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Amer;Ressenti;Liking;Sexe;Age;CSP;Conso Patisseries;Attrait Patisseries;Difficulte Epreuve
4;Gfonce;Fmoyen;Gfonce_Fmoyen;7;chocolat_noir,intense,aromes;chocolat_noir,fort,amer;3;3;3;2;je m attendais a ca;5;F;18/24;etudiants;regulierement;10;3
4;Gclair;Fmoyen;Gclair_Fmoyen;7;cafe;cafe,amer;3;2;3;2;agreablement surpris;6;F;18/24;etudiants;regulierement;10;3
4;Gclair;Ffaible;Gclair_Ffaible;7;cafe;cafe,amer;2;5;4;2;tres decu;2;F;18/24;etudiants;regulierement;10;3
4;Gclair;Ffort;Gclair_Ffort;7;cafe;cafe,amer;4;4;3;2;tres decu;3;F;18/24;etudiants;regulierement;10;3
5;Gmoyen;Fmoyen;Gmoyen_Fmoyen;3;chocolat_au_lait,pas_gourmand,pas_intense;chocolat,prononce,long_en_bouche,pas,tres_sucre,moelleux;2;3;3;2;decu;4;M;50/64;cadres moyen;regulierement;10;7
5;Gmoyen;Ffort;Gmoyen_Ffort;3;chocolat_au_lait,pas_gourmand,pas_intense;chocolat,prononce,long_en_bouche,pas,tres_sucre,moelleux;3;4;3;3;agreablement surpris;7;M;50/64;cadres moyen;regulierement;10;7
5;Gmoyen;Ffaible;Gmoyen_Ffaible;3;chocolat_au_lait,pas_gourmand,pas_intense;chocolat,prononce,long_en_bouche,pas,tres_sucre,moelleux;3;3;3;3;agreablement surpris;9;M;50/64;cadres moyen;regulierement;10;7
5;Gclair;Ffort;Gclair_Ffort;0;eclair,cafe,peu_genereux,pas_joli;gout,chocolat,long,chocolat,persistant,pas,sucre,onctueux;1;4;3;2;decu;2;M;50/64;cadres moyen;regulierement;10;7
5;Gclair;Ffaible;Gclair_Ffaible;0;eclair,cafe,peu_genereux,pas_joli;gout,chocolat,long,chocolat,persistant,pas,sucre,onctueux;1;3;3;1;decu;1;M;50/64;cadres moyen;regulierement;10;7
5;Gclair;Fmoyen;Gclair_Fmoyen;0;eclair,cafe,peu_genereux,pas_joli;gout,chocolat,long,chocolat,persistant,pas,sucre,onctueux;1;5;3;1;decu;1;M;50/64;cadres moyen;regulierement;10;7
5;Gfonce;Ffort;Gfonce_Ffort;10;chocolat_noir,gourmand,envie;fort_gout_chocolat,onctuosite,amer,pas_trop_sucre;2;3;3;3;je m attendais a ca;5;M;50/64;cadres moyen;regulierement;10;7
5;Gfonce;Ffaible;Gfonce_Ffaible;10;chocolat_noir,gourmand,envie;fort_gout_chocolat,onctuosite,amer,pas_trop_sucre;4;3;3;3;je m attendais a ca;6;M;50/64;cadres moyen;regulierement;10;7
5;Gfonce;Fmoyen;Gfonce_Fmoyen;10;chocolat_noir,gourmand,envie;fort_gout_chocolat,onctuosite,amer,pas_trop_sucre;3;3;3;3;agreablement surpris;9;M;50/64;cadres moyen;regulierement;10;7
6;Gmoyen;Fmoyen;Gmoyen_Fmoyen;6;peu_chocolate,tres_sucre,trop_pale;equilibre,chocolat,amer,fondant;3;4;3;2;je m attendais a ca;3;F;35/49;professions liberales et cadres superieurs;occasionnellement;7;3
