Conso;Glacage;Fourrage;Eclair;App glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Ressenti;Liking;Difficulte Epreuve;Age enfant;Age parent
23;Gmoyen;Ffaible;Gmoyen_Ffaible;7;bon;2;2;5;un peu decu;0;1;6;36
23;Gmoyen;Fmoyen;Gmoyen_Fmoyen;7;bon;4;4;3;je m attendais a ca;5;1;6;36
23;Gmoyen;Ffort;Gmoyen_Ffort;7;bon;2;2;2;un peu decu;0;1;6;36
24;Gclair;Fmoyen;Gclair_Fmoyen;5;cafe,caramel,creme;5;3;3;agreablement surpris;9;7;8;38
24;Gclair;Ffaible;Gclair_Ffaible;5;cafe,caramel,creme;4;2;2;je m attendais a ca;7;7;8;38
24;Gclair;Ffort;Gclair_Ffort;5;cafe,caramel,creme;5;1;4;un peu decu;3;7;8;38
24;Gfonce;Ffort;Gfonce_Ffort;4;chocolat_noir;4;2;2;un peu decu;2;7;8;38
24;Gfonce;Ffaible;Gfonce_Ffaible;4;chocolat_noir;3;2;2;je m attendais a ca;3;7;8;38
24;Gfonce;Fmoyen;Gfonce_Fmoyen;4;chocolat_noir;3;3;2;je m attendais a ca;5;7;8;38
24;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;chocolat_au_lait;4;3;2;un peu decu;6;7;8;38
24;Gmoyen;Ffaible;Gmoyen_Ffaible;8;chocolat_au_lait;3;2;2;un peu decu;8;7;8;38
24;Gmoyen;Ffort;Gmoyen_Ffort;8;chocolat_au_lait;4;1;3;un peu decu;3;7;8;38
25;Gclair;Fmoyen;Gclair_Fmoyen;9;caramel,liquide,beurre_sale,coulant,delicieux;2;3;4;agreablement surpris;9;5;9;38
25;Gclair;Ffort;Gclair_Ffort;9;caramel,liquide,beurre_sale,coulant,delicieux;4;1;3;un peu decu;4;5;9;38
25;Gclair;Ffaible;Gclair_Ffaible;9;caramel,liquide,beurre_sale,coulant,delicieux;3;2;5;je m attendais a ca;7;5;9;38
25;Gfonce;Ffort;Gfonce_Ffort;7;chocolat,tres_bon,chocolat_noir;4;4;4;agreablement surpris;8;5;9;38
25;Gfonce;Fmoyen;Gfonce_Fmoyen;7;chocolat,tres_bon,chocolat_noir;2;5;4;agreablement surpris;10;5;9;38
25;Gfonce;Ffaible;Gfonce_Ffaible;7;chocolat,tres_bon,chocolat_noir;1;2;5;un peu decu;5;5;9;38
25;Gmoyen;Ffaible;Gmoyen_Ffaible;9;j_aime,caramel,bonbons_michoko,;3;4;3;agreablement surpris;10;5;9;38
25;Gmoyen;Fmoyen;Gmoyen_Fmoyen;9;j_aime,caramel,bonbons_michoko,;2;4;4;un peu decu;7;5;9;38
25;Gmoyen;Ffort;Gmoyen_Ffort;9;j_aime,caramel,bonbons_michoko,;5;4;3;un peu decu;6;5;9;38
26;Gclair;Fmoyen;Gclair_Fmoyen;10;cafe,j_aime,brille,cafe,bon;5;1;2;un peu decu;2;7;9;22
26;Gclair;Ffort;Gclair_Ffort;10;cafe,j_aime,brille,cafe,bon;3;1;5;tres decu;0;7;9;22
26;Gclair;Ffaible;Gclair_Ffaible;10;cafe,j_aime,brille,cafe,bon;2;3;3;je m attendais a ca;7;7;9;22
26;Gfonce;Ffort;Gfonce_Ffort;3;tres_fonce,pas_assez_sucre;2;1;5;tres decu;0;7;9;22
26;Gfonce;Ffaible;Gfonce_Ffaible;3;tres_fonce,pas_assez_sucre;2;3;3;je m attendais a ca;8;7;9;22
26;Gfonce;Fmoyen;Gfonce_Fmoyen;3;tres_fonce,pas_assez_sucre;3;3;2;je m attendais a ca;5;7;9;22
26;Gmoyen;Ffaible;Gmoyen_Ffaible;10;joli,bon,chocolat,bien_sucre;1;4;4;un peu decu;4;7;9;22
26;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;joli,bon,chocolat,bien_sucre;5;3;2;un peu decu;2;7;9;22
26;Gmoyen;Ffort;Gmoyen_Ffort;10;joli,bon,chocolat,bien_sucre;5;2;5;tres decu;2;7;9;22
27;Gclair;Ffort;Gclair_Ffort;5;cafe;5;2;3;tres agreablement surpris;10;7;9;38
27;Gclair;Ffaible;Gclair_Fmoyen;5;cafe;3;2;4;agreablement surpris;8;7;9;38
27;Gclair;Fmoyen;Gclair_Ffaible;5;cafe;4;5;3;agreablement surpris;4;7;9;38
27;Gfonce;Ffaible;Gfonce_Ffaible;6;chocolat_noir,belle_couleur;1;4;3;je m attendais a ca;7;7;9;38
27;Gfonce;Fmoyen;Gfonce_Fmoyen;6;chocolat_noir,belle_couleur;4;3;2;tres agreablement surpris;9;7;9;38
27;Gfonce;Ffort;Gfonce_Ffort;6;chocolat_noir,belle_couleur;4;3;4;un peu decu;3;7;9;38
27;Gmoyen;Ffort;Gmoyen_Ffort;8;couleur_preferee;5;3;1;tres decu;1;7;9;38
27;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;couleur_preferee;3;3;2;agreablement surpris;7;7;9;38
27;Gmoyen;Ffaible;Gmoyen_Ffaible;8;couleur_preferee;3;3;2;tres agreablement surpris;9;7;9;38
28;Gclair;Ffaible;Gclair_Ffaible;8;brillant,appetissant,cafe_au_lait;3;3;3;je m attendais a ca;6;8;12;75
28;Gclair;Ffort;Gclair_Ffort;8;brillant,appetissant,cafe_au_lait;5;3;3;je m attendais a ca;7;8;12;75
28;Gclair;Fmoyen;Gclair_Fmoyen;8;brillant,appetissant,cafe_au_lait;4;3;3;je m attendais a ca;5;8;12;75
28;Gfonce;Ffort;Gfonce_Ffort;3;chocolat_noir,intense;1;4;3;un peu decu;6;8;12;75
28;Gfonce;Ffaible;Gfonce_Ffaible;3;chocolat_noir,intense;1;5;3;un peu decu;6;8;12;75
28;Gfonce;Fmoyen;Gfonce_Fmoyen;3;chocolat_noir,intense;1;5;3;un peu decu;7;8;12;75
28;Gmoyen;Ffaible;Gmoyen_Ffaible;8;chocolat_gourmand,tres_bon,aiguise_papilles,fait_saliver;1;5;3;un peu decu;5;8;12;75
28;Gmoyen;Ffort;Gmoyen_Ffort;8;chocolat_gourmand,tres_bon,aiguise_papilles,fait_saliver;3;3;3;je m attendais a ca;6;8;12;75
28;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;chocolat_gourmand,tres_bon,aiguise_papilles,fait_saliver;3;3;3;je m attendais a ca;7;8;12;75
29;Gclair;Ffort;Gclair_Ffort;8;j_aime,cafe_au_lait;4;2;2;tres decu;1;8;7;51
29;Gclair;Fmoyen;Gclair_Fmoyen;8;j_aime,cafe_au_lait;3;3;3;agreablement surpris;10;8;7;51
29;Gclair;Ffaible;Gclair_Ffaible;8;j_aime,cafe_au_lait;3;3;3;agreablement surpris;;8;7;51
29;Gfonce;Fmoyen;Gfonce_Fmoyen;1;j_aime_pas,chocolat_noir;5;2;2;tres decu;4;8;7;51
29;Gfonce;Ffort;Gfonce_Ffort;1;j_aime_pas,chocolat_noir;5;1;2;un peu decu;6;8;7;51
29;Gfonce;Ffaible;Gfonce_Ffaible;1;j_aime_pas,chocolat_noir;3;3;3;agreablement surpris;10;8;7;51
29;Gmoyen;Ffort;Gmoyen_Ffort;5;j_aime_pas,chocolat_noir;5;1;1;tres decu;0;8;7;51
29;Gmoyen;Ffaible;Gmoyen_Ffaible;5;j_aime_pas,chocolat_noir;3;3;3;agreablement surpris;7;8;7;51
29;Gmoyen;Fmoyen;Gmoyen_Fmoyen;5;j_aime_pas,chocolat_noir;3;3;3;je m attendais a ca;6;8;7;51
30;Gclair;Fmoyen;Gclair_Fmoyen;4;caramel;3;3;2;tres agreablement surpris;6;5;6;33
30;Gclair;Ffort;Gclair_Ffort;4;caramel;4;4;4;tres agreablement surpris;9;5;6;33
30;Gclair;Ffaible;Gclair_Ffaible;4;caramel;2;3;2;agreablement surpris;5;5;6;33
30;Gmoyen;Ffort;Gmoyen_Ffort;9;j_aime_bien,chocolat;4;4;3;tres agreablement surpris;7;5;6;33
30;Gmoyen;Ffaible;Gmoyen_Ffaible;9;j_aime_bien,chocolat;3;3;3;agreablement surpris;9;5;6;33
30;Gmoyen;Fmoyen;Gmoyen_Fmoyen;9;j_aime_bien,chocolat;4;4;2;agreablement surpris;6;5;6;33
30;Gfonce;Ffaible;Gfonce_Ffaible;3;trop_noir,j_aime_pas;2;3;3;agreablement surpris;6;5;6;33
30;Gfonce;Fmoyen;Gfonce_Fmoyen;3;trop_noir,j_aime_pas;4;4;3;tres agreablement surpris;7;5;6;33
30;Gfonce;Ffort;Gfonce_Ffort;3;trop_noir,j_aime_pas;3;3;3;un peu decu;5;5;6;33
31;Gclair;Ffaible;Gclair_Ffaible;5;cremeux,sucre,cafe,j_aime;2;1;5;un peu decu;10;8;6;46
31;Gclair;Fmoyen;Gclair_Fmoyen;5;cremeux,sucre,cafe,j_aime;4;1;1;agreablement surpris;5;8;6;46
31;Gclair;Ffort;Gclair_Ffort;5;cremeux,sucre,cafe,j_aime;5;1;4;tres agreablement surpris;10;8;6;46
31;Gmoyen;Ffaible;Gmoyen_Ffaible;2;chocolat_noir,barque,j_aime_pas;1;3;2;un peu decu;9;8;6;46
31;Gmoyen;Fmoyen;Gmoyen_Fmoyen;2;chocolat_noir,barque,j_aime_pas;2;4;5;je m attendais a ca;5;8;6;46
31;Gmoyen;Ffort;Gmoyen_Ffort;2;chocolat_noir,barque,j_aime_pas;2;2;4;agreablement surpris;7;8;6;46
31;Gfonce;Ffort;Gfonce_Ffort;10;chocolat_noir,vanille,creme;1;2;1;agreablement surpris;10;8;6;46
31;Gfonce;Ffaible;Gfonce_Ffaible;10;chocolat_noir,vanille,creme;3;4;4;tres agreablement surpris;5;8;6;46
31;Gfonce;Fmoyen;Gfonce_Fmoyen;10;chocolat_noir,vanille,creme;4;1;1;un peu decu;3;8;6;46
32;Gclair;Ffaible;Gclair_Ffaible;7;caramel;3;2;4;un peu decu;5;2;11;48
32;Gclair;Fmoyen;Gclair_Fmoyen;7;caramel;3;3;3;tres decu;4;2;11;48
32;Gclair;Ffort;Gclair_Ffort;7;caramel;4;2;2;je m attendais a ca;6;2;11;48
32;Gmoyen;Fmoyen;Gmoyen_Fmoyen;5;chocolat;2;3;3;je m attendais a ca;10;2;11;48
32;Gmoyen;Ffaible;Gmoyen_Ffaible;5;chocolat;5;2;4;tres agreablement surpris;4;2;11;48
32;Gmoyen;Ffort;Gmoyen_Ffort;5;chocolat;5;2;3;tres decu;3;2;11;48
32;Gfonce;Fmoyen;Gfonce_Fmoyen;4;trop_de_chocolat,trop_peu_de_sucre;1;3;2;agreablement surpris;6;2;11;48
32;Gfonce;Ffaible;Gfonce_Ffaible;4;trop_de_chocolat,trop_peu_de_sucre;2;2;3;je m attendais a ca;7;2;11;48
32;Gfonce;Ffort;Gfonce_Ffort;4;trop_de_chocolat,trop_peu_de_sucre;5;1;4;tres decu;3;2;11;48
32b;Gclair;Ffaible;Gclair_Ffaible;5;caramel,cafe,j_aime_pas;2;4;3;agreablement surpris;6;2;13;48
32b;Gclair;Fmoyen;Gclair_Fmoyen;5;caramel,cafe,j_aime_pas;3;3;3;je m attendais a ca;7;2;13;48
32b;Gclair;Ffort;Gclair_Ffort;5;caramel,cafe,j_aime_pas;4;4;2;un peu decu;4;2;13;48
32b;Gmoyen;Fmoyen;Gmoyen_Fmoyen;7;beaucoup_de_chocolat,sucre;3;5;5;un peu decu;5;2;13;48
32b;Gmoyen;Ffaible;Gmoyen_Ffaible;7;beaucoup_de_chocolat,sucre;4;5;5;tres decu;4;2;13;48
32b;Gmoyen;Ffort;Gmoyen_Ffort;7;beaucoup_de_chocolat,sucre;4;3;1;un peu decu;2;2;13;48
32b;Gfonce;Fmoyen;Gfonce_Fmoyen;5;trop_chocolat;3;3;2;agreablement surpris;5;2;13;48
32b;Gfonce;Ffaible;Gfonce_Ffaible;5;trop_chocolat;2;3;3;je m attendais a ca;5;2;13;48
32b;Gfonce;Ffort;Gfonce_Ffort;5;trop_chocolat;5;3;2;tres decu;2;2;13;48
33;Gclair;Fmoyen;Gclair_Fmoyen;10;j_aime_beaucoup_de_cafe;4;3;4;je m attendais a ca;10;2;9;38
33;Gclair;Ffaible;Gclair_Ffaible;10;j_aime_beaucoup_de_cafe;3;3;4;agreablement surpris;10;2;9;38
33;Gclair;Ffort;Gclair_Ffort;10;j_aime_beaucoup_de_cafe;5;5;3;un peu decu;9;2;9;38
33;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;beau,envie,chocolat;2;3;4;un peu decu;8;2;9;38
33;Gmoyen;Ffaible;Gmoyen_Ffaible;10;beau,envie,chocolat;2;3;4;je m attendais a ca;9;2;9;38
33;Gmoyen;Ffort;Gmoyen_Ffort;10;beau,envie,chocolat;4;3;3;un peu decu;7;2;9;38
33;Gfonce;Ffort;Gfonce_Ffort;9;tres_chocolat,fondant,belle,bon;5;3;3;un peu decu;6;2;9;38
33;Gfonce;Ffaible;Gfonce_Ffaible;9;tres_chocolat,fondant,belle,bon;1;3;4;un peu decu;5;2;9;38
33;Gfonce;Fmoyen;Gfonce_Fmoyen;9;tres_chocolat,fondant,belle,bon;5;3;3;tres decu;5;2;9;38
34;Gclair;Fmoyen;Gclair_Fmoyen;8;j_aime,attirant,cafe,caramel;3;4;4;un peu decu;4;5;22;50
34;Gclair;Ffort;Gclair_Ffort;8;j_aime,attirant,cafe,caramel;4;2;3;un peu decu;3;5;22;50
34;Gclair;Ffaible;Gclair_Ffaible;8;j_aime,attirant,cafe,caramel;3;4;4;un peu decu;5;5;22;50
34;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;j_aime,chocolat_au_lait;3;3;4;je m attendais a ca;6;5;22;50
34;Gmoyen;Ffort;Gmoyen_Ffort;8;j_aime,chocolat_au_lait;4;2;3;agreablement surpris;8;5;22;50
34;Gmoyen;Ffaible;Gmoyen_Ffaible;8;j_aime,chocolat_au_lait;2;5;5;tres decu;3;5;22;50
34;Gfonce;Ffaible;Gfonce_Ffaible;6;chocolat_noir;1;4;4;un peu decu;6;5;22;50
34;Gfonce;Fmoyen;Gfonce_Fmoyen;6;chocolat_noir;3;3;3;je m attendais a ca;8;5;22;50
34;Gfonce;Ffort;Gfonce_Ffort;6;chocolat_noir;4;2;4;agreablement surpris;8;5;22;50
34b;Gclair;Fmoyen;Gclair_Fmoyen;5;pas_attirant,manque_de_peps,caramel,fade;4;4;3;un peu decu;6;5;22;50
34b;Gclair;Ffort;Gclair_Ffort;5;pas_attirant,manque_de_peps,caramel,fade;4;2;4;tres decu;2;5;22;50
34b;Gclair;Ffaible;Gclair_Ffaible;5;pas_attirant,manque_de_peps,caramel,fade;2;3;2;un peu decu;5;5;22;50
34b;Gmoyen;Fmoyen;Gmoyen_Fmoyen;7;chocolat_au_lait,nutella,pralin,appetissant;3;3;4;agreablement surpris;8;5;22;50
34b;Gmoyen;Ffort;Gmoyen_Ffort;7;chocolat_au_lait,nutella,pralin,appetissant;4;2;2;un peu decu;5;5;22;50
34b;Gmoyen;Ffaible;Gmoyen_Ffaible;7;chocolat_au_lait,nutella,pralin,appetissant;3;3;3;agreablement surpris;8;5;22;50
34b;Gfonce;Ffaible;Gfonce_Ffaible;6;tres_chocolat,peu_sucre,fin;3;3;3;agreablement surpris;8;5;22;50
34b;Gfonce;Fmoyen;Gfonce_Fmoyen;6;tres_chocolat,peu_sucre,fin;3;3;3;tres agreablement surpris;9;5;22;50
34b;Gfonce;Ffort;Gfonce_Ffort;6;tres_chocolat,peu_sucre,fin;5;2;2;un peu decu;5;5;22;50
