Conso;Glacage;Fourrage;Eclair;App glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Ressenti;Liking;Difficulte Epreuve;Age enfant;Age parent
5;Gmoyen;Ffort;Gmoyen_Ffort;7;chocolat_au_lait,chocolat;3;3;3;je m attendais a ca;9;6;6;53
5;Gclair;Ffaible;Gclair_Ffaible;6;claire,caramel;1;3;1;un peu decu;2;6;6;53
5;Gclair;Ffort;Gclair_Ffort;6;claire,caramel;2;3;3;un peu decu;7;6;6;53
5;Gclair;Fmoyen;Gclair_Fmoyen;6;claire,caramel;3;3;2;agreablement surpris;8;6;6;53
6;Gfonce;Ffaible;Gfonce_Ffaible;9;j_aime;3;3;4;je m attendais a ca;10;6;7;34
6;Gfonce;Ffort;Gfonce_Fmoyen;9;j_aime;3;3;4;agreablement surpris;8;6;7;34
6;Gfonce;Fmoyen;Gfonce_Ffort;9;j_aime;4;3;3;un peu decu;5;6;7;34
6;Gclair;Ffaible;Gclair_Ffaible;2;cafe,j_aime_pas;3;4;4;agreablement surpris;10;6;7;34
6;Gclair;Ffort;Gclair_Ffort;2;cafe,j_aime_pas;3;3;3;agreablement surpris;10;6;7;34
6;Gclair;Fmoyen;Gclair_Fmoyen;2;cafe,j_aime_pas;4;2;4;un peu decu;8;6;7;34
6;Gmoyen;Ffort;Gmoyen_Ffort;9;j_aime;3;3;3;je m attendais a ca;10;6;7;34
6;Gmoyen;Fmoyen;Gmoyen_Fmoyen;9;j_aime;4;2;2;je m attendais a ca;3;6;7;34
6;Gmoyen;Ffaible;Gmoyen_Ffaible;9;j_aime;3;3;2;un peu decu;5;6;7;34
7;Gfonce;Ffort;Gfonce_Ffort;7;j_aime;3;3;3;tres agreablement surpris;9;5;7;44
7;Gfonce;Ffaible;Gfonce_Ffaible;7;j_aime;4;4;4;un peu decu;5;5;7;44
7;Gfonce;Fmoyen;Gfonce_Fmoyen;7;j_aime;5;3;3;agreablement surpris;10;5;7;44
7;Gclair;Fmoyen;Gclair_Fmoyen;4;cafe,j_aime_pas;5;3;2;un peu decu;6;5;7;44
7;Gclair;Ffort;Gclair_Ffort;4;cafe,j_aime_pas;5;4;3;agreablement surpris;8;5;7;44
7;Gclair;Ffaible;Gclair_Ffaible;4;cafe,j_aime_pas;4;4;3;agreablement surpris;4;5;7;44
7;Gmoyen;Ffaible;Gmoyen_Ffaible;10;couleur_preferee;4;4;3;agreablement surpris;5;5;7;44
7;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;couleur_preferee;4;4;3;un peu decu;3;5;7;44
7;Gmoyen;Ffort;Gmoyen_Ffort;10;couleur_preferee;1;2;2;un peu decu;3;5;7;44
8;Gfonce;Ffort;Gfonce_Ffort;5;bon,chocolat;4;2;3;agreablement surpris;8;8;8;42
8;Gfonce;Fmoyen;Gfonce_Fmoyen;5;bon,chocolat;2;3;3;je m attendais a ca;5;8;8;42
8;Gfonce;Ffaible;Gfonce_Ffaible;5;bon,chocolat;3;4;3;agreablement surpris;7;8;8;42
8;Gclair;Fmoyen;Gclair_Fmoyen;8;caramel;5;3;3;un peu decu;5;8;8;42
8;Gclair;Ffort;Gclair_Ffort;8;caramel;5;4;3;un peu decu;2;8;8;42
8;Gclair;Ffaible;Gclair_Ffaible;8;caramel;3;3;3;je m attendais a ca;7;8;8;42
8;Gmoyen;Ffaible;Gmoyen_Ffaible;5;je_sais_pas;3;3;3;je m attendais a ca;5;8;8;42
8;Gmoyen;Ffort;Gmoyen_Ffort;5;je_sais_pas;4;5;3;un peu decu;1;8;8;42
8;Gmoyen;Fmoyen;Gmoyen_Fmoyen;5;je_sais_pas;3;3;3;je m attendais a ca;5;8;8;42
9;Gfonce;Ffort;Gfonce_Ffort;5;chocolat_noir,bon,tres_fonce;2;2;3;un peu decu;5;7;7;43
9;Gfonce;Fmoyen;Gfonce_Fmoyen;5;chocolat_noir,bon,tres_fonce;4;4;3;tres agreablement surpris;8;7;7;43
9;Gfonce;Ffaible;Gfonce_Ffaible;5;chocolat_noir,bon,tres_fonce;5;2;2;agreablement surpris;6;7;7;43
9;Gclair;Ffort;Gclair_Ffort;5;cafe,je_sais_pas;5;4;3;un peu decu;4;7;7;43
9;Gclair;Fmoyen;Gclair_Fmoyen;5;cafe,je_sais_pas;4;5;3;un peu decu;5;7;7;43
9;Gclair;Ffaible;Gclair_Ffaible;5;cafe,je_sais_pas;3;4;4;un peu decu;6;7;7;43
9;Gmoyen;Ffort;Gmoyen_Ffort;10;parfait,lait,chocolat;5;4;3;tres decu;2;7;7;43
9;Gmoyen;Ffaible;Gmoyen_Ffaible;10;parfait,lait,chocolat;4;3;5;agreablement surpris;5;7;7;43
9;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;parfait,lait,chocolat;3;5;3;un peu decu;3;7;7;43
10;Gmoyen;Ffaible;Gmoyen_Ffaible;5;chocolat_noir,chocolat_au_lait;2;2;1;agreablement surpris;7;6;8;49
10;Gmoyen;Fmoyen;Gmoyen_Ffort;5;chocolat_noir,chocolat_au_lait;5;4;3;je m attendais a ca;5;6;8;49
10;Gmoyen;Ffort;Gmoyen_Fmoyen;5;chocolat_noir,chocolat_au_lait;1;1;1;je m attendais a ca;4;6;8;49
10;Gfonce;Ffort;Gfonce_Ffort;4;trop_noir,trop_fort_en_chocolat;3;4;2;tres decu;4;6;8;49
10;Gfonce;Ffaible;Gfonce_Ffaible;4;trop_noir,trop_fort_en_chocolat;1;3;5;je m attendais a ca;6;6;8;49
10;Gfonce;Fmoyen;Gfonce_Fmoyen;4;trop_noir,trop_fort_en_chocolat;3;3;4;tres agreablement surpris;10;6;8;49
10;Gclair;Fmoyen;Gclair_Fmoyen;3;cafe;2;3;3;agreablement surpris;5;6;8;49
10;Gclair;Ffaible;Gclair_Ffaible;3;cafe;5;3;3;agreablement surpris;9;6;8;49
10;Gclair;Ffort;Gclair_Ffort;3;cafe;5;2;1;un peu decu;4;6;8;49
11;Gmoyen;Ffort;Gmoyen_Ffort;7;chocolat_au_lait,sucre;3;2;3;agreablement surpris;8;7;8;35
11;Gmoyen;Fmoyen;Gmoyen_Fmoyen;7;chocolat_au_lait,sucre;4;5;2;tres agreablement surpris;9;7;8;35
11;Gmoyen;Ffaible;Gmoyen_Ffaible;7;chocolat_au_lait,sucre;5;3;4;tres agreablement surpris;10;7;8;35
11;Gfonce;Ffort;Gfonce_Ffort;6;chocolat_noir,terre,bon;5;4;3;un peu decu;5;7;8;35
11;Gfonce;Fmoyen;Gfonce_Fmoyen;6;chocolat_noir,terre,bon;4;2;3;agreablement surpris;8;7;8;35
11;Gfonce;Ffaible;Gfonce_Ffaible;6;chocolat_noir,terre,bon;3;4;3;agreablement surpris;9;7;8;35
11;Gclair;Fmoyen;Gclair_Fmoyen;10;joli,sucre,cafe;5;4;3;agreablement surpris;9;7;8;35
11;Gclair;Ffaible;Gclair_Ffaible;10;joli,sucre,cafe;4;4;4;agreablement surpris;9;7;8;35
11;Gclair;Ffort;Gclair_Ffort;10;joli,sucre,cafe;5;3;2;tres decu;3;7;8;35
12;Gmoyen;Ffort;Gmoyen_Ffort;10;j_aime,caramel;4;3;5;je m attendais a ca;8;0;9;42
